text,label,rationale,tokens
తప్పు చేసినవాళ్లకు వానికే కాదు ఇంకా అన్నీ మొదలవుతాయి. ఎంతకాలం స్టూడెంట్స్ లైఫ్ తో ఆడుకుంటూ కోట్లు సంపాదిస్తారు అక్రమంగా.,1,"[1,1,0,0,0,0,0,0,0,1,0,1,0,0,1]","['తప్పు', 'చేసినవాళ్లకు', 'వానికే', 'కాదు', 'ఇంకా', 'అన్నీ', 'మొదలవుతాయి.', 'ఎంతకాలం', 'స్టూడెంట్స్', 'లైఫ్', 'తో', 'ఆడుకుంటూ', 'కోట్లు', 'సంపాదిస్తారు', 'అక్రమంగా.']"
దుష్ట చతుష్టయం!  మీరు ఇలాంటివి ఎన్ని చేసిన ఎం పికలేర్రా! ,1,"[1,1,0,0,0,0,1,1]","['దుష్ట', 'చతుష్టయం!', 'మీరు', 'ఇలాంటివి', 'ఎన్ని', 'చేసిన', 'ఎం', 'పికలేర్రా!']"
వెటకారం సూపర్. ప్రభుత్వానికి సిగ్గు సెరం రాదు. ఎందుకంటె సిగ్గు సీరం మనుషులకు మాతృమే వుంటుందని నా అభిప్రాయం.,1,"[0,0,1,1,1,1,0,1,1,1,1,1,0,0]","['వెటకారం', 'సూపర్.', 'ప్రభుత్వానికి', 'సిగ్గు', 'సెరం', 'రాదు.', 'ఎందుకంటె', 'సిగ్గు', 'సీరం', 'మనుషులకు', 'మాతృమే', 'వుంటుందని', 'నా', 'అభిప్రాయం.']"
కేవలం రాజకీయం గా వాడుకోవటానికే ఈ ధరిద్రపు ఆరెస్టులు,1,"[0,0,0,0,0,1,0]","['కేవలం', 'రాజకీయం', 'గా', 'వాడుకోవటానికే', 'ఈ', 'ధరిద్రపు', 'ఆరెస్టులు']"
కథం హోగయ నారాయణ పెద్ద బోకాడ కళాశాల,1,"[0,0,0,1,1,0]","['కథం', 'హోగయ', 'నారాయణ', 'పెద్ద', 'బోకాడ', 'కళాశాల']"
జగన్ మీద జగన్ కే విశ్వాసం లేదు అందుకే ఈ లోఫర్ పనులు,1,"[1,0,1,0,0,0,0,0,1,1]","['జగన్', 'మీద', 'జగన్', 'కే', 'విశ్వాసం', 'లేదు', 'అందుకే', 'ఈ', 'లోఫర్', 'పనులు']"
శ్రీనివాస గారు ఎందుకీ పనికామాలిన డిబేట్... ఆ సాంబకి పనిలేదు... మీకు జీతం కావాలి ..మాకేంటి గోల... అన్నీ ఎగ్జామ్స్ హ్యాపీగా జరిగినై... సమస్య మీరు క్రియేట్ చెయ్యవద్దు,1,"[0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0]","['శ్రీనివాస', 'గారు', 'ఎందుకీ', 'పనికామాలిన', 'డిబేట్...', 'ఆ', 'సాంబకి', 'పనిలేదు...', 'మీకు', 'జీతం', 'కావాలి', '..మాకేంటి', 'గోల...', 'అన్నీ', 'ఎగ్జామ్స్', 'హ్యాపీగా', 'జరిగినై...', 'సమస్య', 'మీరు', 'క్రియేట్', 'చెయ్యవద్దు']"
"మొగవల్లా ముఖం లూ మఠ్రం మంచిగా చుపిస్తారు కన్ని అసల్లు పన్నీ చసేనా లీడ్ ముఖం మఠం బ్లర్ చస్తరు. ఈది ఈ సొసైటీ మరియు హుకా మక్కీ ""హీ టీమ్"" కవల్లి",1,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0]","['మొగవల్లా', 'ముఖం', 'లూ', 'మఠ్రం', 'మంచిగా', 'చుపిస్తారు', 'కన్ని', 'అసల్లు', 'పన్నీ', 'చసేనా', 'లీడ్', 'ముఖం', 'మఠం', 'బ్లర్', 'చస్తరు.', 'ఈది', 'ఈ', 'సొసైటీ', 'మరియు', 'హుకా', 'మక్కీ', '""హీ', 'టీమ్""', 'కవల్లి']"
పాణికి మలినా చనా,1,"[1,1,0]","['పాణికి', 'మలినా', 'చనా']"
తెలంగాణ గుజ్జు గులాం కాదు,1,"[0,1,1,0]","['తెలంగాణ', 'గుజ్జు', 'గులాం', 'కాదు']"
డిసీజ్ వులెరా ముండమోపి,1,"[0,0,1]","['డిసీజ్', 'వులెరా', 'ముండమోపి']"
"అంత మంచి ఉద్యోగం చేస్తు ప్రభుత్వానికి తల వంచి బ్రతకడానికి సిగ్గుపడాలి, ",1,"[0,0,0,0,0,1,1,1,1]","['అంత', 'మంచి', 'ఉద్యోగం', 'చేస్తు', 'ప్రభుత్వానికి', 'తల', 'వంచి', 'బ్రతకడానికి', 'సిగ్గుపడాలి,']"
"జగన్ను నిరుత్సాహపరచడానికి ఆర్కే ఆత్రుతగా ఎదురుచూస్తున్నారు, అదే ఆయన ఉద్దేశం.",1,"[0,1,0,0,0,0,0,1]","['జగన్ను', 'నిరుత్సాహపరచడానికి', 'ఆర్కే', 'ఆత్రుతగా', 'ఎదురుచూస్తున్నారు,', 'అదే', 'ఆయన', 'ఉద్దేశం.']"
వీడి నాథినకొడకా,1,"[0,1]","['వీడి', 'నాథినకొడకా']"
వైజాగ్ న్యూస్ రిపోర్టర్ ఓవర్ యాక్షన్ చెస్టునాడు ,1,"[0,0,0,1,1,1]","['వైజాగ్', 'న్యూస్', 'రిపోర్టర్', 'ఓవర్', 'యాక్షన్', 'చెస్టునాడు']"
సార్ వైసీపీ కి బల్లె గుణపం దింపుతునావు,1,"[0,0,0,0,1,1]","['సార్', 'వైసీపీ', 'కి', 'బల్లె', 'గుణపం', 'దింపుతునావు']"
గోను లేదుగా అందుకే ఇంట్లో తొంగున్నాడు బయటకి వస్తే ఉమ్మివేస్తారని,1,"[0,0,0,1,1,1,1,1]","['గోను', 'లేదుగా', 'అందుకే', 'ఇంట్లో', 'తొంగున్నాడు', 'బయటకి', 'వస్తే', 'ఉమ్మివేస్తారని']"
సాగం కల్చినా చుట్టా పీకలాకు బ్రాండ్ ఆమ్సడార్,1,"[0,0,1,1,1,1]","['సాగం', 'కల్చినా', 'చుట్టా', 'పీకలాకు', 'బ్రాండ్', 'ఆమ్సడార్']"
బీజేపీ సెంట్రల్ లో వచ్చి యేమి చేసిన్రు చెపు,1,"[0,0,0,0,1,1,1]","['బీజేపీ', 'సెంట్రల్', 'లో', 'వచ్చి', 'యేమి', 'చేసిన్రు', 'చెపు']"
పి.కె.నవు జన్మలో వార్డు మెంబర్ కుడ కాలేవు,1,"[0,0,0,1,1,1]","['పి.కె.నవు', 'జన్మలో', 'వార్డు', 'మెంబర్', 'కుడ', 'కాలేవు']"
లంచం అంటున్నారు అచ్చం గారూ...... ఇంతకు ముందు మీ ప్రభుత్వం ఇలాగే చేసిందా,1,"[1,0,0,0,0,0,0,0,0,0]","['లంచం', 'అంటున్నారు', 'అచ్చం', 'గారూ......', 'ఇంతకు', 'ముందు', 'మీ', 'ప్రభుత్వం', 'ఇలాగే', 'చేసిందా']"
జగన్ అప్పాటికి సిఎం ఆవలేడు రాసి పెట్టుకో హా,1,"[0,0,0,1,1,1,0]","['జగన్', 'అప్పాటికి', 'సిఎం', 'ఆవలేడు', 'రాసి', 'పెట్టుకో', 'హా']"
హేహే ఎమ్మెల్యే కూడా గెలవలేదు కానిసం గుర్తు కూడా లేదు ఎంతో పికుట అంటున్నాడు,1,"[0,0,0,0,0,0,0,0,1,1,1]","['హేహే', 'ఎమ్మెల్యే', 'కూడా', 'గెలవలేదు', 'కానిసం', 'గుర్తు', 'కూడా', 'లేదు', 'ఎంతో', 'పికుట', 'అంటున్నాడు']"
నెం. 1 లోఫర్. జై టి. డి. పి-లోకేష్,1,"[0,0,1,0,0,0,0]","['నెం.', '1', 'లోఫర్.', 'జై', 'టి.', 'డి.', 'పి-లోకేష్']"
పోరా.. ఎర్ర పువ్వు.,1,"[1,1,1]","['పోరా..', 'ఎర్ర', 'పువ్వు.']"
నువ్వు బీజేపీ పార్టీ ర హౌలే,1,"[0,1,0,0,1]","['నువ్వు', 'బీజేపీ', 'పార్టీ', 'ర', 'హౌలే']"
ఆయన్ని ఒకసారి కొడితే మీరు లక్ష సర్లు చూపిస్తున్నారు ఎంకావాలి మీకు,1,"[0,0,1,0,0,0,0,1,1]","['ఆయన్ని', 'ఒకసారి', 'కొడితే', 'మీరు', 'లక్ష', 'సర్లు', 'చూపిస్తున్నారు', 'ఎంకావాలి', 'మీకు']"
